ID,Arquivo,Formato,Largura_px,Altura_px,Orientacao,Aspecto,Tamanho_KB,Origem,Status,Ato,Capitulo,Funcao_narrativa,Observacoes
MV-001,139E4EF5-829B-4F89-8D3A-014887AE4A62.jpeg,jpeg,1086,1448,vertical,0.75,325.2,uploaded_conversation,triagem,,,a definir,
MV-002,15FA4F17-6E01-4491-A31A-3F1BCDEBC88A.jpeg,jpeg,864,1536,vertical,0.562,336,uploaded_conversation,triagem,,,a definir,
MV-003,16AED43E-88DB-455C-9BF7-B66420508128.jpeg,jpeg,1024,1024,square,1,190.4,uploaded_conversation,triagem,,,a definir,
MV-004,18C35B81-339E-41BA-A614-ED43B1AA3F4F.jpeg,jpeg,1024,1024,square,1,387.4,uploaded_conversation,triagem,,,a definir,
MV-005,1970172B-490C-444B-98CE-88334F017FE9.jpeg,jpeg,1122,1402,vertical,0.8,515.6,uploaded_conversation,triagem,,,a definir,
MV-006,1A6D13A1-D010-42BD-8831-00E2A5EF487D.jpeg,jpeg,3840,2160,horizontal,1.778,932.4,uploaded_conversation,triagem,,,a definir,
MV-007,1CB5C0D4-71D6-44C6-A21B-19B5288BB242.jpeg,jpeg,1122,1402,vertical,0.8,634,uploaded_conversation,triagem,,,a definir,
MV-008,1D87C1B1-FAE5-49B1-8979-2622DDEB8CAD.jpeg,jpeg,1122,1402,vertical,0.8,203,uploaded_conversation,triagem,,,a definir,
MV-009,33B7FE56-4CA6-464C-8A3B-A39DA74E75F3.jpeg,jpeg,1024,1024,square,1,111.3,uploaded_conversation,triagem,,,a definir,
MV-010,3B18DC81-7B35-4E1F-A3B1-1743EE89AF21.jpeg,jpeg,1122,1402,vertical,0.8,645.3,uploaded_conversation,triagem,,,a definir,
MV-011,3F852555-49CF-4CEB-AD51-3C359CB7B8E5.jpeg,jpeg,1024,1024,square,1,178.2,uploaded_conversation,triagem,,,a definir,
MV-012,47237490-B846-4DD0-B103-E5007A086175.jpeg,jpeg,1122,1402,vertical,0.8,252.5,uploaded_conversation,triagem,,,a definir,
MV-013,52996C3B-0B0C-46F5-865C-D57A67BAD2C7.jpeg,jpeg,1024,1024,square,1,168,uploaded_conversation,triagem,,,a definir,
MV-014,57E33300-09DF-4EF6-BCA9-7FFB487D8EAA.jpeg,jpeg,1122,1402,vertical,0.8,302.5,uploaded_conversation,triagem,,,a definir,
MV-015,58172FF7-3EA6-4460-B6F6-5297B77DA5FD.jpeg,jpeg,1122,1402,vertical,0.8,508.3,uploaded_conversation,triagem,,,a definir,
MV-016,5899898B-6907-4AD3-B588-EA6B54F79F78.jpeg,jpeg,1024,1024,square,1,174.3,uploaded_conversation,triagem,,,a definir,
MV-017,59ED667A-504B-4607-B104-CA5E9FDD5F80.jpeg,jpeg,1024,1024,square,1,143.4,uploaded_conversation,triagem,,,a definir,
MV-018,5AB637E8-FE57-4CAF-8270-50E27AF1EE6E.jpeg,jpeg,1122,1402,vertical,0.8,285.9,uploaded_conversation,triagem,,,a definir,
MV-019,5F27D24D-25A3-4A19-B5D1-EECBFFC466EF.jpeg,jpeg,1122,1402,vertical,0.8,733.6,uploaded_conversation,triagem,,,a definir,
MV-020,625D6C61-905B-4648-8497-E4F3EAB6064E.jpeg,jpeg,1122,1402,vertical,0.8,524.1,uploaded_conversation,triagem,,,a definir,
MV-021,631A7AFA-A4D7-47CF-90FA-B821F1CF3799.jpeg,jpeg,1024,1024,square,1,278.2,uploaded_conversation,triagem,,,a definir,
MV-022,69B25584-4C50-48C2-BE49-E57E0D761BFF.jpeg,jpeg,1122,1402,vertical,0.8,182.1,uploaded_conversation,triagem,,,a definir,
MV-023,6FF5D536-6AF4-4B7E-817F-0DF5FA86F17E.jpeg,jpeg,1122,1402,vertical,0.8,730.1,uploaded_conversation,triagem,,,a definir,
MV-024,7AD65E96-3221-4D40-B5C3-C8B1DEDC7CC2.jpeg,jpeg,1122,1402,vertical,0.8,291.3,uploaded_conversation,triagem,,,a definir,
MV-025,7EA903AA-A30E-493C-88B2-65A065B62152.jpeg,jpeg,1122,1402,vertical,0.8,191.2,uploaded_conversation,triagem,,,a definir,
MV-026,8040C53E-4160-44E4-968B-5EF7E3E87D55.jpeg,jpeg,1024,1024,square,1,208.7,uploaded_conversation,triagem,,,a definir,
MV-027,80DB491D-4A85-497B-B85E-8E2CB28D8815.jpeg,jpeg,1122,1402,vertical,0.8,162.5,uploaded_conversation,triagem,,,a definir,
